game,algorithm,ablation,seeds,return,ep_length,dwell,switches/ep,>1 cond,rule_following,llm_agree_multi,options,share_1,share_2,share_3
Kangaroo,NEXUS (nesy),default,3,1713 ± 825,735,30.3,25,0.480,1.000,0.255,navigate / handle_enemies / collect_fruits,0.843,0.053,0.104
Kangaroo,NEXUS (nesy),tiebreak+hold,3,1001 ± 307,691,37.5,17,0.487,0.875,0.476,navigate / handle_enemies / collect_fruits,0.632,0.107,0.261
Kangaroo,NEXUS (nesy),tiebreak,3,1247 ± 454,747,3.8,207,0.502,1.000,0.502,navigate / handle_enemies / collect_fruits,0.695,0.110,0.195
Kangaroo,NEXUS (nesy),masked+hold,3,1099 ± 299,691,52.0,13,0.475,0.906,0.340,navigate / handle_enemies / collect_fruits,0.737,0.093,0.170
Kangaroo,NEXUS (nesy),masked,3,1250 ± 457,747,3.8,207,0.502,1.000,0.502,navigate / handle_enemies / collect_fruits,0.694,0.111,0.195
Kangaroo,NEXUS (nesy),uniform+hold,3,478 ± 203,685,29.3,22,0.436,0.482,0.349,navigate / handle_enemies / collect_fruits,0.335,0.338,0.327
Kangaroo,NEXUS (nesy),uniform,3,695 ± 343,769,1.5,513,0.514,0.504,0.335,navigate / handle_enemies / collect_fruits,0.332,0.334,0.334
Kangaroo,NEXUS (symbolic),default,3,932 ± 306,838,12.6,66,0.545,1.000,1.000,navigate / handle_enemies / collect_fruits,0.477,0.251,0.271
Kangaroo,NEXUS (symbolic),tiebreak+hold,3,1246 ± 805,777,38.8,19,0.458,0.872,0.460,navigate / handle_enemies / collect_fruits,0.646,0.112,0.242
Kangaroo,NEXUS (symbolic),tiebreak,3,1066 ± 530,748,4.3,182,0.439,1.000,0.500,navigate / handle_enemies / collect_fruits,0.741,0.094,0.166
Kangaroo,NEXUS (symbolic),masked+hold,3,1158 ± 879,748,54.6,13,0.445,0.913,0.326,navigate / handle_enemies / collect_fruits,0.757,0.083,0.160
Kangaroo,NEXUS (symbolic),masked,3,1066 ± 530,748,4.3,182,0.439,1.000,0.500,navigate / handle_enemies / collect_fruits,0.741,0.094,0.166
Kangaroo,NEXUS (symbolic),uniform+hold,3,1229 ± 425,840,29.4,28,0.473,0.504,0.335,navigate / handle_enemies / collect_fruits,0.334,0.339,0.327
Kangaroo,NEXUS (symbolic),uniform,3,1598 ± 103,918,1.5,611,0.521,0.506,0.333,navigate / handle_enemies / collect_fruits,0.332,0.334,0.334
